CidAdaptadaId;Codigo;Diagnostico
4058;J988;Outros transtornos respiratórios especificados
4059;J989;Transtorno respiratório não especificados
4060;J990;Doença pulmonar reumatóide
4061;J991;Transtornos respiratórios em outras doenças sistêmicas do tecido conjuntivo classificadas em outra parte
4062;J998;Transtornos respiratórios em outras doenças classificadas em outra parte
4063;K000;Anodontia
4064;K001;Dentes supranumerários
4065;K002;Anomalias do tamanho e da forma dos dentes
4066;K003;Dentes manchados
4067;K004;Distúrbios na formação dos dentes
4068;K005;Anomalias hereditárias da estrutura dentária não classificadas em outra parte
4069;K006;Distúrbios da erupção dentária
4070;K007;Síndrome da erupção dentária
4071;K008;Outros distúrbios do desenvolvimento dos dentes
4072;K009;Distúrbio não especificado do desenvolvimento dentário
4073;K010;Dentes inclusos
4074;K011;Dentes impactados
4075;K020;Cáries limitadas ao esmalte
4076;K021;Cáries da dentina
4077;K022;Cárie do cemento
4078;K023;Cáries dentárias estáveis
4079;K024;Odontoclasia
4080;K028;Outras cáries dentárias
4081;K029;Cárie dentária, sem outra especificação
4082;K030;Atrito dentário excessivo
4083;K031;Abrasão dentária
4084;K032;Erosão dentária
4085;K033;Reabsorção patológica dos dentes
4086;K034;Hipercementose
4087;K035;Ancilose dentária
4088;K036;Depósitos nos dentes
4089;K037;Alterações pós-eruptivas da cor dos tecidos duros dos dentes
4090;K038;Outras doenças especificadas dos tecidos duros dos dentes
4091;K039;Doença dos tecidos duros dos dentes, não especificada
4092;K040;Pulpite
4093;K041;Necrose da polpa
4094;K042;Degeneração da polpa
4095;K043;Formação anormal de tecidos duros na polpa
4096;K044;Periodontite apical aguda de origem pulpar
4097;K045;Periodontite apical crônica
4098;K046;Abscesso periapical com fístula
4099;K047;Abscesso periapical sem fístula
4100;K048;Cisto radicular
4101;K049;Outras doenças da polpa e dos tecidos periapicais e as não especificadas
4102;K050;Gengivite aguda
4103;K051;Gengivite crônica
4104;K052;Periodontite aguda
4105;K053;Periodontite crônica
4106;K054;Periodontose
4107;K055;Outras doenças periodontais
4108;K056;Doença periodontal, sem outra especificação
4109;K060;Retração gengival
4110;K061;Hiperplasia gengival
4111;K062;Lesões da gengiva e do rebordo alveolar sem dentes, associadas a traumatismos
4112;K068;Outros transtornos especificados da gengiva e do rebordo alveolar sem dentes
4113;K069;Transtorno da gengiva e do rebordo alveolar sem dentes sem outra especificação
4114;K070;Anomalias importantes (major) do tamanho da mandíbula
4115;K071;Anomalias da relação entre a mandíbula com a base do crânio
4116;K072;Anomalias da relação entre as arcadas dentárias
4117;K073;Anomalias da posição dos dentes
4118;K074;Maloclusão, não especificada
4119;K075;Anormalidades dentofaciais funcionais
4120;K076;Transtornos da articulação temporomandibular
4121;K078;Outras anomalias dentofaciais
4122;K079;Anomalia dentofacial, sem outra especificação
4123;K080;Exfoliação dos dentes devida a causas sistêmicas
4124;K081;Perda de dentes devida a acidente, extração ou a doenças periodontais localizadas
4125;K082;Atrofia do rebordo alveolar sem dentes
4126;K083;Raiz dentária retida
4127;K088;Outros transtornos especificados dos dentes e das estruturas de sustentação
4128;K089;Transtorno dos dentes e de suas estruturas de sustentação, sem outra especificação
4129;K090;Cistos odontogênicos de desenvolvimento
4130;K091;Cistos de desenvolvimento (não-odontogênicos) da região bucal
4131;K092;Outros cistos das mandíbulas
4132;K098;Outros cistos da região oral não classificados em outra parte
4133;K099;Cistos da região oral, sem outras especificações
4134;K100;Transtornos do desenvolvimento dos maxilares
4135;K101;Granuloma central de células gigantes
4136;K102;Afecções inflamatórias dos maxilares
4137;K103;Alveolite maxilar
4138;K108;Outras doenças especificadas dos maxilares
4139;K109;Doença dos maxilares, sem outra especificação
4140;K110;Atrofia de glândula salivar
4141;K111;Hipertrofia de glândula salivar
4142;K112;Sialadenite
4143;K113;Abscesso de glândula salivar
4144;K114;Fístula de glândula salivar
4145;K115;Sialolitíase
4146;K116;Mucocele de glândula salivar
4147;K117;Alterações da secreção salivar
4148;K118;Outras doenças das glândulas salivares
4149;K119;Doença de glândula salivar, sem outra especificação
4150;K120;Aftas bucais recidivantes
4151;K121;Outras formas de estomatite
4152;K122;Celulite e abscesso da boca
4153;K130;Doenças dos lábios
4154;K131;Mordedura da mucosa das bochechas e dos lábios
4155;K132;Leucoplasia e outras afecções do epitélio oral, inclusive da língua
4156;K133;Leucoplasia pilosa
4157;K134;Lesões granulomatosas e granulomatóides da mucosa oral
4158;K135;Fibrose oral submucosa
4159;K136;Hiperplasia irritativa da mucosa oral
4160;K137;Outras lesões e as não especificadas da mucosa oral
4161;K140;Glossite
4162;K141;Língua geográfica
4163;K142;Glossite rombóide mediana
4164;K143;Hipertrofia das papilas linguais
4165;K144;Atrofia das papilas linguais
4166;K145;Língua escrotal
4167;K146;Glossodínia
4168;K148;Outras doenças da língua
4169;K149;Doença da língua, sem outra especificação
4170;K20;Esofagite
4171;K21;Doença de refluxo gastroesofágico
4172;K210;Doença de refluxo gastroesofágico com esofagite
4173;K219;Doença de refluxo gastroesofágico sem esofagite
4174;K22.6;Síndrome de Mallory-Weiss
4175;K220;Acalásia do cárdia
4176;K221;Úlcera do esôfago
4177;K222;Obstrução do esôfago
4178;K223;Perfuração do esôfago
4179;K224;Discinesia do esôfago
4180;K225;Divertículo do esôfago adquirido
4181;K226;Síndrome da laceração hemorrágica gastroesofágica
4182;K227;Esôfago de Barret
4183;K228;Outras doenças especificadas do esôfago
4184;K229;Doença do esôfago, sem outra especificação
4185;K230;Esofagite tuberculosa
4186;K231;Megaesôfago na doença de Chagas
4187;K238;Transtornos do esôfago em outras doenças classificadas em outra parte
4188;K25;Úlcera gástrica
4189;K250;Úlcera gástrica - aguda com hemorragia
4190;K251;Úlcera gástrica - aguda com perfuração
4191;K252;Úlcera gástrica - aguda com hemorragia e perfuração
4192;K253;Úlcera gástrica - aguda sem hemorragia ou perfuração
4193;K254;Úlcera gástrica - crônica ou não especificada com hemorragia
4194;K255;Úlcera gástrica - crônica ou não especificada com perfuração
4195;K256;Úlcera gástrica - crônica ou não especificada com hemorragia e perfuração
4196;K257;Úlcera gástrica - crônica sem hemorragia ou perfuração
4197;K259;Úlcera gástrica - não especificada como aguda ou crônica, sem hemorragia ou perfuração
4198;K26;Úlcera duodenal
4199;K260;Úlcera duodenal - aguda com hemorragia
4200;K261;Úlcera duodenal - aguda com perfuração
4201;K262;Úlcera duodenal - aguda com hemorragia e perfuração
4202;K263;Úlcera duodenal - aguda sem hemorragia ou perfuração
4203;K264;Úlcera duodenal - crônica ou não especificada com hemorragia
4204;K265;Úlcera duodenal - crônica ou não especificada com perfuração
4205;K266;Úlcera duodenal - crônica ou não especificada com hemorragia e perfuração
4206;K267;Úlcera duodenal - crônica sem hemorragia ou perfuração
4207;K269;Úlcera duodenal - não especificada como aguda ou crônica, sem hemorragia ou perfuração
4208;K27;Úlcera péptica
4209;K27;Úlcera Perfurada
4210;K270;Úlcera péptica de localização não especificada - aguda com hemorragia
4211;K271;Úlcera péptica de localização não especificada - aguda com perfuração
4212;K272;Úlcera péptica de localização não especificada - aguda com hemorragia e perfuração
4213;K273;Úlcera péptica de localização não especificada - aguda sem hemorragia ou perfuração
4214;K274;Úlcera péptica de localização não especificada - crônica ou não especificada com hemorragia
4215;K275;Úlcera péptica de localização não especificada - crônica ou não especificada com perfuração
4216;K276;Úlcera péptica de localização não especificada - crônica ou não especificada com hemorragia e perfuração
4217;K277;Úlcera péptica de localização não especificada - crônica sem hemorragia ou perfuração
4218;K279;Úlcera péptica de localização não especificada - não especificada como aguda ou crônica, sem hemorragia ou perfuração
4219;K280;Úlcera gastrojejunal - aguda com hemorragia
4220;K281;Úlcera gastrojejunal - aguda com perfuração
4221;K282;Úlcera gastrojejunal - aguda com hemorragia e perfuração
4222;K283;Úlcera gastrojejunal - aguda sem hemorragia ou perfuração
4223;K284;Úlcera gastrojejunal - crônica ou não especificada com hemorragia
4224;K285;Úlcera gastrojejunal - crônica ou não especificada com perfuração
4225;K286;Úlcera gastrojejunal - crônica ou não especificada com hemorragia e perfuração
4226;K287;Úlcera gastrojejunal - crônica sem hemorragia ou perfuração
4227;K289;Úlcera gastrojejunal - não especificada como aguda ou crônica, sem hemorragia ou perfuração
4228;K29;Gastrite e duodenite
4229;K290;Gastrite hemorrágica aguda
4230;K291;Outras gastrites agudas
4231;K292;Gastrite alcoólica
4232;K293;Gastrite superficial crônica
4233;K294;Gastrite atrófica crônica
4234;K295;Gastrite crônica, sem outra especificação
4235;K296;Outras gastrites
4236;K297;Gastrite não especificada
4237;K298;Duodenite
4238;K299;Gastroduodenite, sem outra especificação
4239;K30;Dispepsia
4240;K310;Dilatação aguda do estômago
4241;K311;Estenose pilórica hipertrófica do adulto
4242;K312;Estenose e estreitamento em ampulheta do estômago
4243;K313;Espasmo do piloro não classificado em outra parte
4244;K314;Divertículo gástrico
4245;K315;Obstrução do duodeno
4246;K316;Fístula do estômago e do duodeno
4247;K317;Pólipo do estômago e do duodeno
4248;K318;Outras doenças especificadas do estômago e do duodeno
4249;K319;Doenças do estômago e do duodeno, sem outra especificação
4250;K35;Apendicite aguda
4251;K350;Apendicite aguda com peritonite generalizada
4252;K351;Apendicite aguda com abscesso peritonial
4253;K359;Apendicite aguda sem outra especificação
4254;K36;Outras formas de apendicite
4255;K37;Apendicite, sem outras especificações
4256;K380;Hiperplasia do apêndice
4257;K381;Concreções apendiculares
4258;K382;Divertículo do apêndice
4259;K383;Fístula do apêndice
4260;K388;Outras doenças especificadas do apêndice
4261;K389;Doença do apêndice, sem outra especificação
4262;K40;Hérnia inguinal
4263;K400;Hérnia inguinal bilateral, com obstrução, sem gangrena
4264;K401;Hérnia inguinal bilateral, com gangrena
4265;K402;Hérnia inguinal bilateral, sem obstrução ou gangrena
4266;K403;Hérnia inguinal unilateral ou não especificada, com obstrução sem gangrena
4267;K404;Hérnia inguinal unilateral ou não especificada, com gangrena
4268;K409;Hérnia inguinal unilateral ou não especificada, sem obstrução ou gangrena
4269;K41;Hérnia femoral
4270;K410;Hérnia femoral bilateral, com obstrução, sem gangrena
4271;K411;Hérnia femoral bilateral, com gangrena
4272;K412;Hérnia femoral bilateral, sem obstrução ou gangrena
4273;K413;Hérnia femoral unilateral ou não especificada, com obstrução, sem gangrena
4274;K414;Hérnia femoral unilateral ou não especificada, com gangrena
4275;K419;Hérnia femoral unilateral ou não especificada, sem obstrução ou gangrena
4276;K42;Hérnia umbilical
4277;K420;Hérnia umbilical com obstrução, sem gangrena
4278;K421;Hérnia umbilical com gangrena
4279;K429;Hérnia umbilical sem obstrução ou gangrena
4280;K43;Hérnia ventral
4281;K430;Hérnia ventral com obstrução, sem gangrena
4282;K431;Hérnia ventral com gangrena
4283;K439;Hérnia ventral sem obstrução ou gangrena
4284;K44;Hérnia diafragmática
4285;K440;Hérnia diafragmática com obstrução, sem gangrena
4286;K441;Hérnia diafragmática com gangrena
4287;K449;Hérnia diafragmática sem obstrução ou gangrena
4288;K450;Outras hérnias abdominais especificadas, com obstrução, sem gangrena
4289;K451;Outras hérnias abdominais especificadas, com gangrena
4290;K458;Outras hérnias abdominais especificadas, sem obstrução ou gangrena
4291;K460;Hérnia abdominal não especificada, com obstrução, sem gangrena
4292;K461;Hérnia abdominal não especificada com gangrena
4293;K469;Hérnia abdominal não especificada, sem obstrução ou gangrena
4294;K50;Doença de Crohn
4295;K500;Doença de Crohn do intestino delgado
4296;K501;Doença de Crohn do intestino grosso
4297;K508;Outra forma de doença de Crohn
4298;K509;Doença de Crohn de localização não especificada
4299;K51;Retocolite ulcerativa
4300;K510;Enterocolite ulcerativa (crônica)
4301;K511;Ileocolite ulcerativa (crônica)
4302;K512;Proctite ulcerativa (crônica)
4303;K513;Retossigmoidite ulcerativa (crônica)
4304;K514;Pseudopolipose do cólon
4305;K515;Proctocolite mucosa
4306;K518;Outras colites ulcerativas
4307;K519;Colite ulcerativa, sem outra especificação
4308;K520;Gastroenterite e colite devida à radiação
4309;K521;Gastroenterite e colite tóxicas
4310;K522;Gastroenterite e colite alérgicas ou ligadas à dieta
4311;K528;Outras gastroenterites e colites especificadas, não-infecciosas
4312;K529;Gastroenterite e colite não-infecciosas, não especificadas
4313;K55.0;Infarto Mesentérico
4314;K550;Transtornos vasculares agudos do intestino
4315;K551;Transtornos vasculares crônicos do intestino
4316;K552;Angiodisplasia do cólon
4317;K558;Outros transtornos vasculares do intestino
4318;K559;Transtorno vascular do intestino, sem outra especificação
4319;K560;Íleo paralítico
4320;K561;Intussuscepção
4321;K562;Volvo
4322;K563;Íleo biliar
4323;K564;Outras obstruções do intestino
4324;K565;Aderências intestinais (bridas) com obstrução
4325;K566;Outras formas de obstrução intestinal, e as não especificadas
4326;K567;Íleo, não especificado
4327;K57;Diverticulite Aguda
4328;K57;Diverticulose
4329;K57;Doença diverticular do intestino
4330;K570;Doença diverticular do intestino delgado com perfuração e abscesso
4331;K571;Doença diverticular do intestino delgado sem perfuração ou abscesso
4332;K572;Doença diverticular do intestino grosso com perfuração e abscesso
4333;K573;Doença diverticular do intestino grosso sem perfuração ou abscesso
4334;K574;Doença diverticular concomitante dos intestinos delgado e grosso com perfuração e abscesso
4335;K575;Doença diverticular concomitante dos intestinos delgado e grosso sem perfuração ou abscesso
4336;K578;Doença diverticular do intestino, de localização não especificada, com perfuração e abscesso
4337;K579;Doença diverticular do intestino, de localização não especificada, sem perfuração ou abscesso
4338;K58;Síndrome do cólon irritável
4339;K580;Síndrome do cólon irritável com diarréia
4340;K589;Síndrome do cólon irritável sem diarréia
4341;K590;Constipação
4342;K591;Diarréia funcional
4343;K592;Cólon neurogênico não classificado em outra parte
4344;K593;Megacólon não classificado em outra parte
4345;K594;Espasmo anal
4346;K598;Outros transtornos funcionais especificados do intestino
4347;K599;Transtorno intestinal funcional, não especificado
4348;K60;Fissura e fístula das regiões anal e retal
4349;K600;Fissura anal aguda
4350;K601;Fissura anal crônica
4351;K602;Fissura anal, não especificada
4352;K603;Fístula anal
4353;K604;Fístula retal
4354;K605;Fístula anorretal
4355;K610;Abscesso anal
4356;K611;Abscesso retal
4357;K612;Abscesso anorretal
4358;K613;Abscesso ísquio-retal
4359;K614;Abscesso intra-esfincteriano
4360;K620;Pólipo anal
4361;K621;Pólipo retal
4362;K622;Prolapso anal
4363;K623;Prolapso retal
4364;K624;Estenose do ânus e do reto
4365;K625;Enterorragia
4366;K625;Hemorragia do ânus e do reto
4367;K626;Úlcera do ânus e do reto
4368;K627;Proctite por radiação
4369;K628;Outras doenças especificadas do ânus e do reto
4370;K629;Doença do ânus e do reto, sem outra especificação
4371;K630;Abscesso do intestino
4372;K631;Perfuração do intestino (não-traumática)
4373;K632;Fístula do intestino
4374;K633;Úlcera do intestino
4375;K634;Enteroptose
4376;K635;Pólipo do cólon
4377;K638;Outras doenças especificadas do intestino
4378;K639;Doença do intestino, sem outra especificação
4379;K65;Peritonite
4380;K650;Peritonite aguda
4381;K658;Outras peritonites
4382;K659;Peritonite, sem outras especificações
4383;K660;Aderências peritoniais
4384;K661;Hemoperitônio
4385;K668;Outras afecções especificadas do peritônio
4386;K669;Afecções do peritônio, sem outra especificação
4387;K670;Peritonite por clamídias
4388;K671;Peritonite gonocócica
4389;K672;Peritonite sifilítica
4390;K673;Peritonite tuberculosa
4391;K678;Outras formas de comprometimento do peritônio em doenças infecciosas classificadas em outra parte
4392;K70;Doença alcoólica do fígado
4393;K700;Fígado gorduroso alcoólico
4394;K701;Hepatite alcoólica
4395;K702;Fibrose e esclerose alcoólicas do fígado
4396;K703;Cirrose hepática alcoólica
4397;K704;Insuficiência hepática alcoólica
4398;K709;Doença alcoólica do fígado, sem outra especificação
4399;K71;Doença hepática tóxica
4400;K710;Doença hepática tóxica com colestase
4401;K711;Doença hepática tóxica com necrose hepática
4402;K712;Doença hepática tóxica com hepatite aguda
4403;K713;Doença hepática tóxica com hepatite crônica persistente
4404;K714;Doença hepática tóxica com hepatite crônica lobular
4405;K715;Doença hepática tóxica com hepatite crônica ativa
4406;K716;Doença hepática tóxica com hepatite não classificada em outra parte
4407;K717;Doença hepática tóxica com fibrose e cirrose hepáticas
4408;K718;Doença hepática tóxica com outros transtornos do fígado
4409;K719;Doença hepática tóxica, sem outra especificação
4410;K72.9;Insuficiência hepática
4411;K720;Insuficiência hepática aguda e subaguda
4412;K721;Insuficiência hepática crônica
4413;K729;Insuficiência hepática, sem outras especificações
4414;K73;Hepatite crônica
4415;K730;Hepatite crônica persistente, não classificada em outra parte
4416;K731;Hepatite crônica lobular, não classificada em outra parte
4417;K732;Hepatite crônica ativa, não classificada em outra parte
4418;K738;Outras hepatites crônicas não classificada em outra parte
4419;K739;Hepatite crônica, sem outra especificação
4420;K74;Cirrose hepática
4421;K740;Fibrose hepática
4422;K741;Esclerose hepática
4423;K742;Fibrose hepática com esclerose hepática
4424;K743;Cirrose biliar primária
4425;K744;Cirrose biliar secundária
4426;K745;Cirrose biliar, sem outra especificação
4427;K746;Outras formas de cirrose hepática e as não especificadas
4428;K750;Abscesso hepático
4429;K751;Flebite da veia porta
4430;K752;Hepatite reativa não-específica
4431;K753;Hepatite granulomatosa não classificada em outra parte
4432;K754;Hepatite autoimune
4433;K758;Outras doenças hepáticas inflamatórias especificadas
4434;K759;Doença hepática inflamatória, sem outra especificação
4435;K76.0;Esteatose hepática
4436;K76.6;Hipertensão porta
4437;K760;Degeneração gordurosa do fígado não classificada em outra parte
4438;K761;Congestão passiva crônica do fígado
4439;K762;Necrose hemorrágica central do fígado
4440;K763;Infarto do fígado
4441;K764;Peliose hepática
4442;K765;Doença hepática veno-oclusiva
4443;K766;Hipertensão portal
4444;K767;Síndrome hepatorrenal
4445;K768;Outras doenças especificadas do fígado
4446;K769;Doença hepática, sem outra especificação
4447;K770;Transtornos hepáticos em doenças infecciosas e parasitárias classificadas em outra parte
4448;K778;Transtornos hepáticos em outras doenças classificadas em outra parte
4449;K80;Colelitíase
4450;K80;Litíase Biliar
4451;K800;Calculose da vesícula biliar com colicistite aguda
4452;K801;Calculose da vesícula biliar com outras formas de colecistite
4453;K802;Calculose da vesícula biliar sem colecistite
4454;K803;Calculose de via biliar com colangite
4455;K804;Calculose de via biliar com colecistite
4456;K805;Calculose de via biliar sem colangite ou colecistite
4457;K808;Outras colelitíases
4458;K81;Colecistite
4459;K810;Colecistite aguda
4460;K811;Colecistite crônica
4461;K818;Outras colecistites
4462;K819;Colecistite, sem outra especificação
4463;K820;Obstrução da vesícula biliar
4464;K821;Hidropsia da vesícula biliar
4465;K822;Perfuração da vesícula biliar
4466;K823;Fístula da vesícula biliar
4467;K824;Colesterolose da vesícula biliar
4468;K828;Outras doenças especificadas da vesícula biliar
4469;K829;Doença da vesícula biliar, sem outra especificação
4470;K830;Colangite
4471;K831;Obstrução de via biliar
4472;K832;Perfuração de via biliar
4473;K833;Fístula de via biliar
4474;K834;Espasmo do esfíncter de Oddi
4475;K835;Cisto biliar
4476;K838;Outras doenças especificadas das vias biliares
4477;K839;Doença das vias biliares, sem outra especificação
4478;K85;Pancreatite aguda
4479;K850;Pancreatite aguda idiopática
4480;K851;Pancreatite aguda biliar
4481;K852;Pancreatite aguda induzida por álcool
4482;K853;Pancreatite aguda induzida por droga
4483;K858;Outras pancreatites agudas
4484;K859;Pancreatite aguda, não especificada
4485;K86.1;Pancreatite crônica
4486;K860;Pancreatite crônica induzida por álcool
4487;K861;Outras pancreatites crônicas
4488;K862;Cisto do pâncreas
4489;K863;Pseudocisto do pâncreas
4490;K868;Outras doenças especificadas do pâncreas
4491;K869;Doença do pâncreas, sem outra especificação
4492;K870;Transtornos da vesícula biliar e das vias biliares em doenças classificadas em outra parte
4493;K871;Transtornos do pâncreas em doenças classificadas em outra parte
4494;K90;Síndrome de má-absorção intestinal
4495;K900;Doença celíaca
4496;K901;Espru tropical
4497;K902;Síndrome da alça cega não classificada em outra parte
4498;K903;Esteatorréia pancreática
4499;K904;Má-absorção devida a intolerância não classificada em outra parte
4500;K908;Outras formas de má-absorção intestinal
4501;K909;Má-absorção intestinal, sem outra especificação
4502;K910;Vômitos pós-cirurgia gastrointestinal
4503;K911;Síndromes pós-cirurgia gástrica
4504;K912;Má-absorção pós-cirúrgica não classificada em outra parte
4505;K913;Obstrução intestinal pós-operatória
4506;K914;Mau funcionamento de colostomia e enterostomia
4507;K915;Síndrome pós-colecistectomia
4508;K918;Outros transtornos do aparelho digestivo, pós-cirúrgicos, não classificados em outra parte
4509;K919;Transtorno do aparelho digestivo pós procedimento
4510;K920;Hematêmese
4511;K921;Melena
4512;K922;Hemorragia gastrointestinal, sem outra especificação
4513;K928;Outras doenças especificadas do aparelho digestivo
4514;K929;Doença do aparelho digestivo, sem outra especificação
4515;K930;Transtornos devido a tuberculose do intestino, do peritônio e dos gânglios do mesentério
4516;K931;Megacólon na doença de Chagas
4517;K938;Transtornos de outros órgãos digestivos especificados em doenças classificadas em outra parte
4518;L00;Síndrome da pele escaldada estafilocócica do recém-nascido
4519;L01;Impetigo
4520;L010;Impetigo [qualquer localização] [qualquer microorganismo]
4521;L011;Impetiginização de outras dermatoses
4522;L02;Abscesso cutâneo
4523;L02;Antraz
4524;L02;Furunculose
4525;L020;Abscesso cutâneo, furúnculo e antraz da face
4526;L021;Abscesso cutâneo, furúnculo e antraz do pescoço
4527;L022;Abscesso cutâneo, furúnculo e antraz do tronco
4528;L023;Abscesso cutâneo, furúnculo e antraz da nádega
4529;L024;Abscesso cutâneo, furúnculo e antraz do(s) membro(s)
4530;L028;Abscesso cutâneo, furúnculo e antraz de outras localizações
4531;L029;Abscesso cutâneo, furúnculo e antraz de localização não especificada
4532;L03;Celulite
4533;L03;Fleimão
4534;L030;Celulite de dedos das mãos e dos pés
4535;L031;Celulite de outras partes do(s) membro(s)
4536;L032;Celulite da face
4537;L033;Celulite do tronco
4538;L038;Celulite de outros locais
4539;L039;Celulite não especificada
4540;L040;Linfadenite aguda de face, cabeça e pescoço
4541;L041;Linfadenite aguda do tronco
4542;L042;Linfadenite aguda de membro superior
4543;L043;Linfadenite aguda de membro inferior
4544;L048;Linfadenite aguda de outras localizações
4545;L049;Linfadenite aguda de localização não especificada
4546;L05;Cisto pilonidal
4547;L050;Cisto pilonidal com abscesso
4548;L059;Cisto pilonidal sem abscesso
4549;L080;Piodermite
4550;L081;Eritrasma
4551;L088;Outras infecções localizadas, especificadas, da pele e do tecido subcutâneo
4552;L089;Infecção localizada da pele e do tecido subcutâneo, não especificada
4553;L10;Pênfigo
4554;L100;Pênfigo vulgar
4555;L101;Pênfigo vegetante
4556;L102;Pênfigo foliáceo
4557;L103;Pênfigo brasileiro [fogo selvagem]
4558;L104;Pênfigo eritematoso
4559;L105;Pênfigo induzido por drogas
4560;L108;Outras formas de pênfigo
4561;L109;Pênfigo, não especificado
4562;L110;Ceratose folicular adquirida
4563;L111;Dermatose acantolítica transitória [Grover]
4564;L118;Outras afecções acantolíticas especificadas
4565;L120;Penfigóide bolhoso
4566;L121;Penfigóide cicatricial
4567;L122;Doença bolhosa crônica da infância
4568;L123;Epidermólise bolhosa adquirida
4569;L128;Outras formas de penfigóide
4570;L129;Penfigóide, não especificado
4571;L130;Dermatite herpetiforme
4572;L131;Dermatite pustular subcorneana
4573;L138;Outras afecções bolhosas especificadas
4574;L139;Doença bolhosa, não especificada
4575;L14;Afecções bolhosas em doenças classificadas em outra parte
4576;L20;Dermatite atópica
4577;L200;Prurigo de Besnier
4578;L208;Outras dermatites atópicas
4579;L209;Dermatite atópica, não especificada
4580;L21;Dermatite seborréica
4581;L210;Seborréia do couro cabeludo
4582;L211;Dermatite seborréica infantil
4583;L218;Outras dermatites seborréicas
4584;L219;Dermatite seborréica, não especificada
4585;L22;Dermatite das fraldas
4586;L230;Dermatite alérgica de contato devida a metais
4587;L231;Dermatite alérgica de contato devida a adesivos
4588;L232;Dermatite alérgica de contato devida a cosméticos
4589;L233;Dermatite alérgica de contato devido a drogas em contato com a pele
4590;L234;Dermatite alérgica de contato devida a corantes
4591;L235;Dermatite alérgica de contato devida a outros produtos químicos
4592;L236;Dermatite alérgica de contato devida a alimentos em contato com a pele
4593;L237;Dermatite alérgica de contato devido a plantas, exceto alimentos
4594;L238;Dermatite alérgica de contato devido a outros agentes
4595;L239;Dermatite alérgica de contato, de causa não especificada
4596;L240;Dermatite de contato por irritantes devida a detergentes
4597;L241;Dermatite de contato por irritantes devido a óleos e gorduras
4598;L242;Dermatite de contato por irritantes devida a solventes
4599;L243;Dermatite de contato por irritantes devida a cosméticos
4600;L244;Dermatite de contato por irritantes devida a drogas em contato com a pele
4601;L245;Dermatite de contato por irritantes devida a outros produtos químicos
4602;L246;Dermatite de contato por irritantes devida a alimentos em contato com a pele
4603;L247;Dermatite de contato por irritantes devido a plantas, exceto alimentos
4604;L248;Dermatite de contato por irritantes devido a outros agentes
4605;L249;Dermatite de contato por irritantes, de causa não especificada
4606;L25;Dermatite de contato
4607;L250;Dermatite de contato não especificada devida a cosméticos
4608;L251;Dermatite de contato não especificada devida a drogas em contato com a pele
4609;L252;Dermatite de contato não especificada devida a corantes
4610;L253;Dermatite de contato não especificada devida a outros produtos químicos
4611;L254;Dermatite de contato não especificada devida a alimentos em contato com a pele
4612;L255;Dermatite de contato não especificada devida a plantas, exceto alimentos
4613;L258;Dermatite de contato não especificada devida a outros agentes
4614;L259;Dermatite de contato não especificada, de causa não especificada
4615;L26;Dermatite esfoliativa
4616;L270;Erupção cutânea generalizada devida a drogas e medicamentos
4617;L271;Erupção cutânea localizada devida a drogas e medicamentos
4618;L272;Dermatite devida à ingestão de alimentos
4619;L278;Dermatite devida a outras substâncias de uso interno
4620;L279;Dermatite devida a substância não especificada de uso interno
4621;L280;Líquen simples crônico
4622;L281;Prurigo nodular
4623;L282;Outras formas de prurigo
4624;L290;Prurido anal
4625;L291;Prurido escrotal
4626;L292;Prurido vulvar
4627;L293;Prurido anogenital, não especificado
4628;L298;Outras formas de prurido
4629;L299;Prurido não especificado
4630;L300;Dermatite numular
4631;L301;Disidrose [pompholyx]
4632;L302;Autossensibilização cutânea
4633;L303;Dermatite infectada
4634;L304;Intertrigo eritematoso
4635;L305;Pitiríase alba
4636;L308;Outras dermatites especificadas
4637;L309;Dermatite não especificada
4638;L40;Psoríase
4639;L400;Psoríase vulgar
4640;L401;Psoríase pustulosa generalizada
4641;L403;Pustulose palmar e plantar
4642;L404;Psoríase gutata
4643;L405;Artropatia psoriásica
4644;L408;Outras formas de psoríase
4645;L409;Psoríase não especificada
4646;L410;Pitiríase liquenóide e varioliforme aguda
4647;L411;Pitiríase liquenóide crônica
4648;L412;Papulose linfomatóide
4649;L413;Parapsoríase de pequenas placas
4650;L414;Parapsoríase de grandes placas
4651;L415;Parapsoríase retiforme
4652;L418;Outras parapsoríases
4653;L419;Parapsoríase, não especificada
4654;L42;Pitiríase rósea
4655;L43;Líquen plano
4656;L430;Líquen plano hipertrófico
4657;L431;Líquen plano bolhoso
4658;L432;Reação liquenóide a droga
4659;L433;Líquen plano subagudo (ativo)
4660;L438;Outras formas de líquen plano
4661;L439;Líquen plano, não especificado
4662;L440;Pitiríase rubra pilar
4663;L441;Líquen nítido
4664;L442;Líquen estriado
4665;L443;Líquen rubro moniliforme
4666;L444;Acrodermatite papular infantil [Síndrome de Gianotti-Crosti]
4667;L448;Outras afecções pápulo-descamativas especificadas
4668;L449;Afecções pápulo-descamativas, não especificadas
4669;L45;Afecções pápulo-descamativas em doenças classificadas em outra parte
4670;L50;Urticária
4671;L500;Urticária alérgica
4672;L501;Urticária idiopática
4673;L502;Urticária devida a frio e a calor
4674;L503;Urticária dermatográfica
4675;L504;Urticária vibratória
4676;L505;Urticária colinérgica
4677;L506;Urticária de contato
4678;L508;Outras urticárias
4679;L509;Urticária não especificada
4680;L51;Eritema multiforme
